ORIGIN,DEST,DISTANCE,AIR_TIME,ORIGIN_CITY_NAME,DEST_CITY_NAME
ABE,ATL,692,108,"Allentown/Bethlehem/Easton, PA","Atlanta, GA"
ABE,CLT,481,100,"Allentown/Bethlehem/Easton, PA","Charlotte, NC"
ABE,DTW,425,83,"Allentown/Bethlehem/Easton, PA","Detroit, MI"
ABE,ORD,654,108,"Allentown/Bethlehem/Easton, PA","Chicago, IL"
ABI,DFW,158,35,"Abilene, TX","Dallas/Fort Worth, TX"
ABQ,ATL,1269,144,"Albuquerque, NM","Atlanta, GA"
ABQ,CNM,230,55,"Albuquerque, NM","Carlsbad, NM"
ABQ,DAL,580,78,"Albuquerque, NM","Dallas, TX"
ABQ,DEN,349,59,"Albuquerque, NM","Denver, CO"
ABQ,DFW,569,75,"Albuquerque, NM","Dallas/Fort Worth, TX"
ABQ,HOU,759,97,"Albuquerque, NM","Houston, TX"
ABQ,IAH,744,98,"Albuquerque, NM","Houston, TX"
ABQ,LAS,486,74,"Albuquerque, NM","Las Vegas, NV"
ABQ,LAX,677,100,"Albuquerque, NM","Los Angeles, CA"
ABQ,MDW,1121,136,"Albuquerque, NM","Chicago, IL"
ABQ,OAK,889,129,"Albuquerque, NM","Oakland, CA"
ABQ,PHX,328,57,"Albuquerque, NM","Phoenix, AZ"
ABQ,SAN,628,93,"Albuquerque, NM","San Diego, CA"
ABQ,SFO,896,136,"Albuquerque, NM","San Francisco, CA"
ABQ,SLC,493,80,"Albuquerque, NM","Salt Lake City, UT"
ABQ,SVC,188,42,"Albuquerque, NM","Silver City/Hurley, NM"
ABR,MSP,257,45,"Aberdeen, SD","Minneapolis, MN"
ABY,ATL,145,37,"Albany, GA","Atlanta, GA"
ACK,BOS,91,36,"Nantucket, MA","Boston, MA"
ACK,EWB,55,22,"Nantucket, MA","New Bedford/Fall River, MA"
ACK,HYA,31,71,"Nantucket, MA","Hyannis, MA"
ACT,DFW,89,27,"Waco, TX","Dallas/Fort Worth, TX"
ACV,SFO,250,48,"Arcata/Eureka, CA","San Francisco, CA"
ACY,FLL,977,140,"Atlantic City, NJ","Fort Lauderdale, FL"
ACY,MCO,852,125,"Atlantic City, NJ","Orlando, FL"
ACY,MYR,466,73,"Atlantic City, NJ","Myrtle Beach, SC"
ACY,PBI,936,135,"Atlantic City, NJ","West Palm Beach/Palm Beach, FL"
ACY,RSW,982,147,"Atlantic City, NJ","Fort Myers, FL"
ACY,TPA,913,136,"Atlantic City, NJ","Tampa, FL"
ADQ,ANC,253,40,"Kodiak, AK","Anchorage, AK"
AEX,ATL,500,72,"Alexandria, LA","Atlanta, GA"
AEX,DFW,285,54,"Alexandria, LA","Dallas/Fort Worth, TX"
AEX,IAH,190,42,"Alexandria, LA","Houston, TX"
AGS,ATL,143,34,"Augusta, GA","Atlanta, GA"
